id,email,name,verified,profile_image,total_donated,total_donations,impact_score,created_at,updated_at,contact_phone,city,address,registration_number,capacity,services,emergency_contact,role,first_name,last_name,is_active,profile_complete,last_login,metadata,settings,activity_score,last_activity_at,engagement_score
407ccd2a-50af-467a-a6b1-0982d043750f,joel.yaffe+admin@gmail.com,Shelter Admin Joel,true,,0.00,0,0,2024-12-14 00:26:38.419+00,2025-01-07 23:37:55.411294+00,,Montreal,,,,[],{},shelter_admin,QA,Arcana,true,false,,"{""last_updated"":""2025-01-07T23:37:55.411294+00:00"",""update_count"":10,""last_activity"":""2024-12-16T00:01:02.893431+00:00"",""activity_score"":100,""admin_activity"":{""role_type"":""shelter_admin"",""last_action"":""2025-01-07T23:37:55.411294+00:00""},""activity_status"":""highly_active"",""profile_created"":""2024-12-14 00:26:38.419+00"",""activity_metrics"":{""status"":""inactive"",""activity_history"":{""2024-12-16"":""2024-12-16T00:01:02.893431+00:00"",""2025-01-04"":""2024-12-16T00:01:02.893431+00:00"",""2025-01-07"":""2024-12-16T00:01:02.893431+00:00""},""activity_threshold"":30,""last_status_update"":""2025-01-07T23:37:55.411294+00:00"",""days_since_last_activity"":22},""completion_steps"":[],""engagement_level"":""fully_engaged"",""participant_activity"":{""program_status"":""active"",""last_service_update"":""2024-12-16T00:03:28.756043+00:00"",""service_usage_count"":0},""last_engagement_update"":""2025-01-07T23:37:55.411294+00:00""}",{},100,2024-12-16 00:01:02.893431+00,90
48ab9ac4-b860-4b67-a13d-8499b51dcd82,qa.donor@arcanaconcept.com,QA Donor,true,https://sheltr-qa.storage.googleapis.com/profiles/donor.jpg,1000.00,5,80,2025-01-04 19:25:20.951596+00,2025-01-07 23:38:05.632072+00,,New York,,,,,,donor,QA,Arcana,true,false,,"{""causes"":[""housing"",""food"",""education""],""anonymous"":false,""force_recalc"":true,""force_update"":true,""last_updated"":""2025-01-07T23:38:05.632072+00:00"",""update_count"":21,""donor_activity"":{""engagement_level"":""highly_engaged"",""donation_frequency"":200,""last_donation_date"":null},""activity_metrics"":{""status"":""active"",""activity_history"":{""2025-01-04"":null,""2025-01-07"":null},""activity_threshold"":90,""last_status_update"":""2025-01-07T23:38:05.632072+00:00"",""days_since_last_activity"":3},""engagement_level"":""fully_engaged"",""donation_preference"":""monthly"",""last_engagement_update"":""2025-01-07T23:38:05.632072+00:00""}","{""anonymous"":false,""notifications"":true}",80,,80
60459491-c33e-43a9-a1fd-cb1aff0e9b04,joel.yaffe+participant@gmail.com,Participant Joel,true,,0.00,0,0,2024-11-29 16:42:15.581976+00,2025-01-07 23:36:42.954751+00,,Montreal,,,,[],{},participant,Participant,1,true,true,,"{""last_updated"":""2025-01-07T23:36:42.954751+00:00"",""update_count"":5,""last_activity"":""2024-12-16T00:01:02.893431+00:00"",""activity_score"":80,""activity_status"":""highly_active"",""profile_created"":""2024-11-29 16:42:15.581976+00"",""activity_metrics"":{""status"":""dormant"",""activity_history"":{""2025-01-04"":""2024-12-16T00:01:02.893431+00:00"",""2025-01-07"":""2024-12-16T00:01:02.893431+00:00""},""activity_threshold"":14,""last_status_update"":""2025-01-07T23:36:42.954751+00:00"",""days_since_last_activity"":22},""completion_steps"":[],""engagement_level"":""partially_engaged"",""participant_activity"":{""program_status"":""at_risk"",""last_service_update"":""2025-01-07T23:36:42.954751+00:00"",""service_usage_count"":0},""last_engagement_update"":""2025-01-07T23:36:42.954751+00:00""}",{},80,2024-12-16 00:01:02.893431+00,70
7beced68-a619-48b1-b867-142506b09313,qa.superadmin@arcanaconcept.com,QA Super Admin,true,https://sheltr-qa.storage.googleapis.com/profiles/admin.jpg,0.00,0,100,2025-01-04 19:24:02.185956+00,2025-01-07 23:37:42.411618+00,,Toronto,,,,[],,super_admin,QA,Arcana,true,,2025-01-04 21:19:56.109241+00,"{""department"":""Administration"",""permissions"":[""all""],""access_level"":""Full"",""force_recalc"":true,""force_update"":true,""last_updated"":""2025-01-07T23:37:42.411618+00:00"",""update_count"":22,""admin_activity"":{""role_type"":""super_admin"",""last_action"":""2025-01-07T23:37:42.411618+00:00""},""activity_metrics"":{""status"":""active"",""activity_history"":{""2025-01-04"":null,""2025-01-07"":null},""activity_threshold"":30,""last_status_update"":""2025-01-07T23:37:42.411618+00:00"",""days_since_last_activity"":3},""engagement_level"":""fully_engaged"",""last_engagement_update"":""2025-01-07T23:37:42.411618+00:00""}","{""two_factor"":true,""notifications"":true}",100,,100
845d214d-4020-4f8b-af08-ed6f61f010ec,,,false,,0.00,0,0,2025-01-15 20:05:33.05+00,2025-01-15 20:05:33.05+00,,,,,,,,donor,,,true,false,,"{""last_updated"":""2025-01-15T20:05:33.349245+00:00"",""update_count"":1,""donor_activity"":{""engagement_level"":""new"",""donation_frequency"":0,""last_donation_date"":null},""activity_metrics"":{""status"":""active"",""activity_history"":{},""activity_threshold"":30,""last_status_update"":""2025-01-15T20:05:33.349245+00:00"",""days_since_last_activity"":0},""engagement_level"":""fully_engaged"",""last_engagement_update"":""2025-01-15T20:05:33.349245+00:00""}",{},0,,80
9f0bbccc-05c1-4646-875d-c2e00c4dec94,qa.participant@arcanaconcept.com,QA Participant,true,https://sheltr-qa.storage.googleapis.com/profiles/participant.jpg,0.00,0,70,2025-01-04 19:25:20.951596+00,2025-01-07 23:38:08.759037+00,,Victoria,,,,"[""housing"",""job_training""]","{""name"":""Emergency Contact Person"",""phone"":""+11234567890"",""relationship"":""Family""}",participant,QA,Arcana,true,true,,"{""needs"":[""housing"",""job_training""],""status"":""active"",""force_recalc"":true,""force_update"":true,""last_updated"":""2025-01-07T23:38:08.759037+00:00"",""update_count"":22,""program_start"":""2025-01-04 19:29:54.001568+00"",""activity_metrics"":{""status"":""active"",""activity_history"":{""2025-01-04"":null,""2025-01-07"":null},""activity_threshold"":14,""last_status_update"":""2025-01-07T23:38:08.759037+00:00"",""days_since_last_activity"":3},""engagement_level"":""partially_engaged"",""participant_activity"":{""program_status"":""active"",""last_service_update"":""2025-01-07T23:38:08.759037+00:00"",""service_usage_count"":2},""last_engagement_update"":""2025-01-07T23:38:08.759037+00:00""}","{""privacy"":""high"",""notifications"":true}",70,,70
a2bd925d-059b-4bf9-9e35-5d91c8231b37,qa.shelter@arcanaconcept.com,QA Shelter Admin,true,https://sheltr-qa.storage.googleapis.com/profiles/shelter.jpg,0.00,0,90,2025-01-04 19:25:20.951596+00,2025-01-07 23:38:02.474123+00,,Miami,,,,[],,shelter_admin,QA,Arcana,true,false,2025-01-04 21:20:05.189519+00,"{""capacity"":100,""services"":[""housing"",""meals"",""counseling""],""force_recalc"":true,""force_update"":true,""last_updated"":""2025-01-07T23:38:02.474123+00:00"",""shelter_name"":""QA Test Shelter"",""update_count"":22,""admin_activity"":{""role_type"":""shelter_admin"",""last_action"":""2025-01-07T23:38:02.474123+00:00""},""activity_metrics"":{""status"":""active"",""activity_history"":{""2025-01-04"":null,""2025-01-07"":null},""activity_threshold"":30,""last_status_update"":""2025-01-07T23:38:02.474123+00:00"",""days_since_last_activity"":3},""engagement_level"":""fully_engaged"",""last_engagement_update"":""2025-01-07T23:38:02.474123+00:00""}","{""reporting"":true,""notifications"":true}",90,,90
bacf98d8-ea78-446e-9248-f35172a2ffd4,joel.yaffe+donor@gmail.com,Donor Joel,true,,0.00,0,0,2024-11-29 16:40:57.01746+00,2025-01-07 23:36:31.976137+00,,London,,,,[],,donor,Donor,1,true,false,,"{""last_updated"":""2025-01-07T23:36:31.976137+00:00"",""update_count"":5,""last_activity"":""2024-12-16T00:01:02.893431+00:00"",""activity_score"":80,""donor_activity"":{""engagement_level"":""new"",""donation_frequency"":0,""last_donation_date"":null},""activity_status"":""highly_active"",""profile_created"":""2024-11-29 16:40:57.01746+00"",""activity_metrics"":{""status"":""inactive"",""activity_history"":{""2025-01-04"":""2024-12-16T00:01:02.893431+00:00"",""2025-01-07"":""2024-12-16T00:01:02.893431+00:00""},""activity_threshold"":30,""last_status_update"":""2025-01-07T23:36:31.976137+00:00"",""days_since_last_activity"":22},""completion_steps"":[],""engagement_level"":""fully_engaged"",""last_engagement_update"":""2025-01-07T23:36:31.976137+00:00""}",{},80,2024-12-16 00:01:02.893431+00,80
e5590af8-55ba-41f5-b881-6b0ce3872007,joel@arcanaconcept.com,Super Admin Joel,true,,0.00,0,0,2024-12-14 00:56:39.173+00,2025-01-07 23:38:19.334894+00,,Dubai,,,,[],{},super_admin,Joel,Yaffe,true,,,"{""last_updated"":""2025-01-07T23:38:19.334894+00:00"",""update_count"":7,""last_activity"":""2024-12-16T00:01:02.893431+00:00"",""activity_score"":100,""admin_activity"":{""role_type"":""super_admin"",""last_action"":""2025-01-07T23:38:19.334894+00:00""},""activity_status"":""highly_active"",""profile_created"":""2024-12-14 00:56:39.173+00"",""activity_metrics"":{""status"":""inactive"",""activity_history"":{""2024-12-16"":""2024-12-16T00:01:02.893431+00:00"",""2025-01-04"":""2024-12-16T00:01:02.893431+00:00"",""2025-01-07"":""2024-12-16T00:01:02.893431+00:00""},""activity_threshold"":30,""last_status_update"":""2025-01-07T23:38:19.334894+00:00"",""days_since_last_activity"":22},""completion_steps"":[],""engagement_level"":""fully_engaged"",""participant_activity"":{""program_status"":""active"",""last_service_update"":""2024-12-16T00:03:28.756043+00:00"",""service_usage_count"":0},""last_engagement_update"":""2025-01-07T23:38:19.334894+00:00""}",{},100,2024-12-16 00:01:02.893431+00,100
ee2b6192-71e3-4034-80d8-8bd5e68db696,,,false,,0.00,0,0,2025-01-15 19:59:22.4+00,2025-01-15 19:59:22.4+00,,,,,,,,donor,,,true,false,,"{""last_updated"":""2025-01-15T19:59:22.539982+00:00"",""update_count"":1,""donor_activity"":{""engagement_level"":""new"",""donation_frequency"":0,""last_donation_date"":null},""activity_metrics"":{""status"":""active"",""activity_history"":{},""activity_threshold"":30,""last_status_update"":""2025-01-15T19:59:22.539982+00:00"",""days_since_last_activity"":0},""engagement_level"":""fully_engaged"",""last_engagement_update"":""2025-01-15T19:59:22.539982+00:00""}",{},0,,80
